"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"FL2","NFM21PC105B1C3D","40.8362mm","18.3868mm","40.8362mm","18.3868mm","41.8362mm","18.3868mm","T","180.00","NFM21PC105B1C3D"
"FL1","NFM21PC105B1C3D","41.0902mm","26.5148mm","41.0902mm","26.5148mm","40.0902mm","26.5148mm","T","360.00","NFM21PC105B1C3D"
"C10","CAPC1608X85N","23.9452mm","11.1479mm","23.9452mm","11.1479mm","23.9452mm","11.8278mm","T","270.00","ECHU1C101GX5"
"C9","CAPC3425X200N","21.2782mm","22.8318mm","21.2782mm","22.8318mm","21.2782mm","24.2319mm","T","270.00","LDBAB3100GC5N0"
"C8","CAPC3425X200N","28.6442mm","17.4978mm","28.6442mm","17.4978mm","27.2442mm","17.4978mm","T","0.00","LDBAB3100GC5N0"
"C7","CAPC1608X85N","33.7242mm","11.1479mm","33.7242mm","11.1479mm","33.7242mm","11.8278mm","T","270.00","ECHU1C101GX5"
"C6","CAPC1608X85N","32.8352mm","18.3868mm","32.8352mm","18.3868mm","32.1553mm","18.3868mm","T","0.00","ECHU1C101GX5"
"C5","CAPC1608X80N","34.3592mm","20.6729mm","34.3592mm","20.6729mm","34.3592mm","19.8727mm","T","90.00","C1608X5R0J225M080AB"
"C4","CAPPM7343X310N","46.4242mm","22.4508mm","46.4242mm","22.4508mm","46.4242mm","25.5509mm","T","270.00","T494D107K010AT"
"C3","CAPC1608X80N","34.3592mm","24.1018mm","34.3592mm","24.1018mm","34.3592mm","23.3017mm","T","90.00","C1608X5R0J225M080AB"
"C2","CAPC1608X80N","23.5642mm","28.6739mm","23.5642mm","28.6739mm","23.5642mm","29.4739mm","T","270.00","C1608X5R0J225M080AB"
"C1","CAPC1608X85N","37.7882mm","22.4508mm","37.7882mm","22.4508mm","37.7882mm","21.7709mm","T","90.00","ECHU1C101GX5"
"C13","CAPC0603(1608)100_M","74.676mm","34.417mm","74.676mm","34.417mm","73.776mm","34.417mm","T","360.00","CAP 1uF 10V 0603(1608)"
"C22","CAPC0603(1608)100_N","68.6054mm","40.1574mm","68.6054mm","40.1574mm","68.6054mm","39.3574mm","T","90.00","CAP 100nF 50V 0603(1608)"
"J1","SHDR6W100P0X381_1X6_2425X920X7","8.4mm","16.2998mm","8.4mm","6.7748mm","8.4mm","6.7748mm","T","90.00","1803316"
"J2","SHDR4W100P0X381_1X4_1663X920X7","8.4mm","37.4898mm","8.4mm","31.7748mm","8.4mm","31.7748mm","T","90.00","1803293"
"L1","INDPM5050X410N","30.5308mm","38.8874mm","30.5308mm","38.8874mm","28.5808mm","38.8874mm","T","360.00","SRN5040TA-2R2M"
"R16","RESC0603(1608)_N","34.544mm","43.18mm","34.544mm","43.18mm","34.544mm","42.38mm","T","90.00","39K 1%"
"S1","ESWI-TL3342F160QG_V","74.2442mm","5.0546mm","74.2442mm","5.0546mm","77.3942mm","6.9546mm","T","270.00","TL3342F160QG"
"C18","CAPC1206(3216)190_N","39.116mm","37.084mm","39.116mm","37.084mm","39.116mm","35.584mm","T","90.00","CAP 22uF 16V 1206(3216)"
"SK3","61300211121","65.278mm","10.541mm","64.008mm","10.541mm","64.008mm","10.541mm","T","360.00","61300211121"
"D2","DIOM5436X244N","41.656mm","42.672mm","41.656mm","42.672mm","41.656mm","44.8719mm","T","270.00","SMBJ5.0A-E3/52"

